ProductID,Name,Subcategory,Category,Model,Description,StandardCost,Selling_Price,ProductLine,SellStartDate,SellEndDate
718,"HL Road Frame - Red, 44",Road Frames,Components,HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,868.6342,1431.50,"R ",31-05-2011,NULL
719,"HL Road Frame - Red, 48",Road Frames,Components,HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,868.6342,1431.50,"R ",31-05-2011,NULL
720,"HL Road Frame - Red, 52",Road Frames,Components,HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,868.6342,1431.50,"R ",31-05-2011,NULL
721,"HL Road Frame - Red, 56",Road Frames,Components,HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,868.6342,1431.50,"R ",31-05-2011,NULL
722,"LL Road Frame - Black, 58",Road Frames,Components,LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",204.6251,337.22,"R ",31-05-2011,NULL
723,"LL Road Frame - Black, 60",Road Frames,Components,LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",204.6251,337.22,"R ",31-05-2011,NULL
724,"LL Road Frame - Black, 62",Road Frames,Components,LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",204.6251,337.22,"R ",31-05-2011,NULL
725,"LL Road Frame - Red, 44",Road Frames,Components,LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",187.1571,337.22,"R ",31-05-2011,29-05-2013
726,"LL Road Frame - Red, 48",Road Frames,Components,LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",187.1571,337.22,"R ",31-05-2011,29-05-2013
727,"LL Road Frame - Red, 52",Road Frames,Components,LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",187.1571,337.22,"R ",31-05-2011,29-05-2013
728,"LL Road Frame - Red, 58",Road Frames,Components,LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",187.1571,337.22,"R ",31-05-2011,29-05-2013
729,"LL Road Frame - Red, 60",Road Frames,Components,LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",187.1571,337.22,"R ",31-05-2011,29-05-2013
730,"LL Road Frame - Red, 62",Road Frames,Components,LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",187.1571,337.22,"R ",31-05-2011,29-05-2013
731,"ML Road Frame - Red, 44",Road Frames,Components,ML Road Frame,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version.",352.1394,594.83,"R ",31-05-2011,29-05-2012
732,"ML Road Frame - Red, 48",Road Frames,Components,ML Road Frame,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version.",352.1394,594.83,"R ",31-05-2011,29-05-2012
733,"ML Road Frame - Red, 52",Road Frames,Components,ML Road Frame,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version.",352.1394,594.83,"R ",31-05-2011,29-05-2012
734,"ML Road Frame - Red, 58",Road Frames,Components,ML Road Frame,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version.",352.1394,594.83,"R ",31-05-2011,29-05-2012
735,"ML Road Frame - Red, 60",Road Frames,Components,ML Road Frame,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version.",352.1394,594.83,"R ",31-05-2011,29-05-2012
736,"LL Road Frame - Black, 44",Road Frames,Components,LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",204.6251,337.22,"R ",31-05-2011,NULL
737,"LL Road Frame - Black, 48",Road Frames,Components,LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",204.6251,337.22,"R ",31-05-2011,NULL
738,"LL Road Frame - Black, 52",Road Frames,Components,LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",204.6251,337.22,"R ",31-05-2011,NULL
739,"HL Mountain Frame - Silver, 42",Mountain Frames,Components,HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,747.2002,1364.50,"M ",31-05-2011,NULL
740,"HL Mountain Frame - Silver, 44",Mountain Frames,Components,HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,706.811,1364.50,"M ",31-05-2011,29-05-2012
741,"HL Mountain Frame - Silver, 48",Mountain Frames,Components,HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,706.811,1364.50,"M ",31-05-2011,29-05-2012
742,"HL Mountain Frame - Silver, 46",Mountain Frames,Components,HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,747.2002,1364.50,"M ",31-05-2011,NULL
743,"HL Mountain Frame - Black, 42",Mountain Frames,Components,HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,739.041,1349.60,"M ",31-05-2011,NULL
744,"HL Mountain Frame - Black, 44",Mountain Frames,Components,HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,699.0928,1349.60,"M ",31-05-2011,29-05-2012
745,"HL Mountain Frame - Black, 48",Mountain Frames,Components,HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,699.0928,1349.60,"M ",31-05-2011,29-05-2012
746,"HL Mountain Frame - Black, 46",Mountain Frames,Components,HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,739.041,1349.60,"M ",31-05-2011,NULL
747,"HL Mountain Frame - Black, 38",Mountain Frames,Components,HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,739.041,1349.60,"M ",31-05-2011,NULL
748,"HL Mountain Frame - Silver, 38",Mountain Frames,Components,HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,747.2002,1364.50,"M ",31-05-2011,NULL
749,"Road-150 Red, 62",Road Bikes,Bikes,Road-150,"This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.",2171.2942,3578.27,"R ",31-05-2011,29-05-2012
750,"Road-150 Red, 44",Road Bikes,Bikes,Road-150,"This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.",2171.2942,3578.27,"R ",31-05-2011,29-05-2012
751,"Road-150 Red, 48",Road Bikes,Bikes,Road-150,"This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.",2171.2942,3578.27,"R ",31-05-2011,29-05-2012
752,"Road-150 Red, 52",Road Bikes,Bikes,Road-150,"This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.",2171.2942,3578.27,"R ",31-05-2011,29-05-2012
753,"Road-150 Red, 56",Road Bikes,Bikes,Road-150,"This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.",2171.2942,3578.27,"R ",31-05-2011,29-05-2012
754,"Road-450 Red, 58",Road Bikes,Bikes,Road-450,"A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads.",884.7083,1457.99,"R ",31-05-2011,29-05-2012
755,"Road-450 Red, 60",Road Bikes,Bikes,Road-450,"A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads.",884.7083,1457.99,"R ",31-05-2011,29-05-2012
756,"Road-450 Red, 44",Road Bikes,Bikes,Road-450,"A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads.",884.7083,1457.99,"R ",31-05-2011,29-05-2012
757,"Road-450 Red, 48",Road Bikes,Bikes,Road-450,"A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads.",884.7083,1457.99,"R ",31-05-2011,29-05-2012
758,"Road-450 Red, 52",Road Bikes,Bikes,Road-450,"A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads.",884.7083,1457.99,"R ",31-05-2011,29-05-2012
759,"Road-650 Red, 58",Road Bikes,Bikes,Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",486.7066,782.99,"R ",31-05-2011,29-05-2013
760,"Road-650 Red, 60",Road Bikes,Bikes,Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",486.7066,782.99,"R ",31-05-2011,29-05-2013
761,"Road-650 Red, 62",Road Bikes,Bikes,Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",486.7066,782.99,"R ",31-05-2011,29-05-2013
762,"Road-650 Red, 44",Road Bikes,Bikes,Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",486.7066,782.99,"R ",31-05-2011,29-05-2013
763,"Road-650 Red, 48",Road Bikes,Bikes,Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",486.7066,782.99,"R ",31-05-2011,29-05-2013
764,"Road-650 Red, 52",Road Bikes,Bikes,Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",486.7066,782.99,"R ",31-05-2011,29-05-2013
765,"Road-650 Black, 58",Road Bikes,Bikes,Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",486.7066,782.99,"R ",31-05-2011,29-05-2013
766,"Road-650 Black, 60",Road Bikes,Bikes,Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",486.7066,782.99,"R ",31-05-2011,29-05-2013
767,"Road-650 Black, 62",Road Bikes,Bikes,Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",486.7066,782.99,"R ",31-05-2011,29-05-2013
768,"Road-650 Black, 44",Road Bikes,Bikes,Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",486.7066,782.99,"R ",31-05-2011,29-05-2013
769,"Road-650 Black, 48",Road Bikes,Bikes,Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",486.7066,782.99,"R ",31-05-2011,29-05-2013
770,"Road-650 Black, 52",Road Bikes,Bikes,Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",486.7066,782.99,"R ",31-05-2011,29-05-2013
771,"Mountain-100 Silver, 38",Mountain Bikes,Bikes,Mountain-100,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.",1912.1544,3399.99,"M ",31-05-2011,29-05-2012
772,"Mountain-100 Silver, 42",Mountain Bikes,Bikes,Mountain-100,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.",1912.1544,3399.99,"M ",31-05-2011,29-05-2012
773,"Mountain-100 Silver, 44",Mountain Bikes,Bikes,Mountain-100,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.",1912.1544,3399.99,"M ",31-05-2011,29-05-2012
774,"Mountain-100 Silver, 48",Mountain Bikes,Bikes,Mountain-100,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.",1912.1544,3399.99,"M ",31-05-2011,29-05-2012
775,"Mountain-100 Black, 38",Mountain Bikes,Bikes,Mountain-100,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.",1898.0944,3374.99,"M ",31-05-2011,29-05-2012
776,"Mountain-100 Black, 42",Mountain Bikes,Bikes,Mountain-100,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.",1898.0944,3374.99,"M ",31-05-2011,29-05-2012
777,"Mountain-100 Black, 44",Mountain Bikes,Bikes,Mountain-100,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.",1898.0944,3374.99,"M ",31-05-2011,29-05-2012
778,"Mountain-100 Black, 48",Mountain Bikes,Bikes,Mountain-100,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.",1898.0944,3374.99,"M ",31-05-2011,29-05-2012
779,"Mountain-200 Silver, 38",Mountain Bikes,Bikes,Mountain-200,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,1265.6195,2319.99,"M ",30-05-2012,NULL
780,"Mountain-200 Silver, 42",Mountain Bikes,Bikes,Mountain-200,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,1265.6195,2319.99,"M ",30-05-2012,NULL
781,"Mountain-200 Silver, 46",Mountain Bikes,Bikes,Mountain-200,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,1265.6195,2319.99,"M ",30-05-2012,NULL
782,"Mountain-200 Black, 38",Mountain Bikes,Bikes,Mountain-200,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,1251.9813,2294.99,"M ",30-05-2012,NULL
783,"Mountain-200 Black, 42",Mountain Bikes,Bikes,Mountain-200,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,1251.9813,2294.99,"M ",30-05-2012,NULL
784,"Mountain-200 Black, 46",Mountain Bikes,Bikes,Mountain-200,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,1251.9813,2294.99,"M ",30-05-2012,NULL
785,"Mountain-300 Black, 38",Mountain Bikes,Bikes,Mountain-300,For true trail addicts.  An extremely durable bike that will go anywhere and keep you in control on challenging terrain - without breaking your budget.,598.4354,1079.99,"M ",30-05-2012,29-05-2013
786,"Mountain-300 Black, 40",Mountain Bikes,Bikes,Mountain-300,For true trail addicts.  An extremely durable bike that will go anywhere and keep you in control on challenging terrain - without breaking your budget.,598.4354,1079.99,"M ",30-05-2012,29-05-2013
787,"Mountain-300 Black, 44",Mountain Bikes,Bikes,Mountain-300,For true trail addicts.  An extremely durable bike that will go anywhere and keep you in control on challenging terrain - without breaking your budget.,598.4354,1079.99,"M ",30-05-2012,29-05-2013
788,"Mountain-300 Black, 48",Mountain Bikes,Bikes,Mountain-300,For true trail addicts.  An extremely durable bike that will go anywhere and keep you in control on challenging terrain - without breaking your budget.,598.4354,1079.99,"M ",30-05-2012,29-05-2013
789,"Road-250 Red, 44",Road Bikes,Bikes,Road-250,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.",1518.7864,2443.35,"R ",30-05-2012,29-05-2013
790,"Road-250 Red, 48",Road Bikes,Bikes,Road-250,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.",1518.7864,2443.35,"R ",30-05-2012,29-05-2013
791,"Road-250 Red, 52",Road Bikes,Bikes,Road-250,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.",1518.7864,2443.35,"R ",30-05-2012,29-05-2013
792,"Road-250 Red, 58",Road Bikes,Bikes,Road-250,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.",1554.9479,2443.35,"R ",30-05-2012,NULL
793,"Road-250 Black, 44",Road Bikes,Bikes,Road-250,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.",1554.9479,2443.35,"R ",30-05-2012,NULL
794,"Road-250 Black, 48",Road Bikes,Bikes,Road-250,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.",1554.9479,2443.35,"R ",30-05-2012,NULL
795,"Road-250 Black, 52",Road Bikes,Bikes,Road-250,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.",1554.9479,2443.35,"R ",30-05-2012,NULL
796,"Road-250 Black, 58",Road Bikes,Bikes,Road-250,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.",1554.9479,2443.35,"R ",30-05-2012,NULL
797,"Road-550-W Yellow, 38",Road Bikes,Bikes,Road-550-W,"Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing.",713.0798,1120.49,"R ",30-05-2012,NULL
798,"Road-550-W Yellow, 40",Road Bikes,Bikes,Road-550-W,"Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing.",713.0798,1120.49,"R ",30-05-2012,NULL
799,"Road-550-W Yellow, 42",Road Bikes,Bikes,Road-550-W,"Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing.",713.0798,1120.49,"R ",30-05-2012,NULL
800,"Road-550-W Yellow, 44",Road Bikes,Bikes,Road-550-W,"Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing.",713.0798,1120.49,"R ",30-05-2012,NULL
801,"Road-550-W Yellow, 48",Road Bikes,Bikes,Road-550-W,"Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing.",713.0798,1120.49,"R ",30-05-2012,NULL
802,LL Fork,Forks,Components,LL Fork,Stout design absorbs shock and offers more precise steering.,65.8097,148.22,NULL,30-05-2012,29-05-2013
803,ML Fork,Forks,Components,ML Fork,Composite road fork with an aluminum steerer tube.,77.9176,175.49,NULL,30-05-2012,29-05-2013
804,HL Fork,Forks,Components,HL Fork,High-performance carbon road fork with curved legs.,101.8936,229.49,NULL,30-05-2012,29-05-2013
805,LL Headset,Headsets,Components,LL Headset,Threadless headset provides quality at an economical price.,15.1848,34.20,NULL,30-05-2012,29-05-2013
806,ML Headset,Headsets,Components,ML Headset,Sealed cartridge keeps dirt out.,45.4168,102.29,NULL,30-05-2012,29-05-2013
807,HL Headset,Headsets,Components,HL Headset,"High-quality 1"" threadless headset with a grease port for quick lubrication.",55.3801,124.73,NULL,30-05-2012,29-05-2013
808,LL Mountain Handlebars,Handlebars,Components,LL Mountain Handlebars,All-purpose bar for on or off-road.,19.7758,44.54,"M ",30-05-2012,NULL
809,ML Mountain Handlebars,Handlebars,Components,ML Mountain Handlebars,Tough aluminum alloy bars for downhill.,27.4925,61.92,"M ",30-05-2012,NULL
810,HL Mountain Handlebars,Handlebars,Components,HL Mountain Handlebars,Flat bar strong enough for the pro circuit.,53.3999,120.27,"M ",30-05-2012,NULL
811,LL Road Handlebars,Handlebars,Components,LL Road Handlebars,Unique shape provides easier reach to the levers.,19.7758,44.54,"R ",30-05-2012,NULL
812,ML Road Handlebars,Handlebars,Components,ML Road Handlebars,Anatomically shaped aluminum tube bar will suit all riders.,27.4925,61.92,"R ",30-05-2012,NULL
813,HL Road Handlebars,Handlebars,Components,HL Road Handlebars,Designed for racers; high-end anatomically shaped bar from aluminum alloy.,53.3999,120.27,"R ",30-05-2012,NULL
814,"ML Mountain Frame - Black, 38",Mountain Frames,Components,ML Mountain Frame-W,The ML frame is a heat-treated aluminum frame made with the same detail and quality as our HL frame. It offers superior performance. Men's version.,185.8193,348.76,"M ",30-05-2012,29-05-2013
815,LL Mountain Front Wheel,Wheels,Components,LL Mountain Front Wheel,Replacement mountain wheel for entry-level rider.,26.9708,60.745,"M ",30-05-2012,29-05-2013
816,ML Mountain Front Wheel,Wheels,Components,ML Mountain Front Wheel,Replacement mountain wheel for the casual to serious rider.,92.8071,209.025,"M ",30-05-2012,29-05-2013
817,HL Mountain Front Wheel,Wheels,Components,HL Mountain Front Wheel,High-performance mountain replacement wheel.,133.2955,300.215,"M ",30-05-2012,29-05-2013
818,LL Road Front Wheel,Wheels,Components,LL Road Front Wheel,Replacement road front wheel for entry-level cyclist.,37.9909,85.565,"R ",30-05-2012,29-05-2013
819,ML Road Front Wheel,Wheels,Components,ML Road Front Wheel,Sturdy alloy features a quick-release hub.,110.2829,248.385,"R ",30-05-2012,29-05-2013
820,HL Road Front Wheel,Wheels,Components,HL Road Front Wheel,Strong wheel with double-walled rim.,146.5466,330.06,"R ",30-05-2012,29-05-2013
821,Touring Front Wheel,Wheels,Components,Touring Front Wheel,Aerodynamic rims for smooth riding.,96.7964,218.01,"T ",30-05-2012,29-05-2013
822,"ML Road Frame-W - Yellow, 38",Road Frames,Components,ML Road Frame-W,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Women's version.",360.9428,594.83,"R ",30-05-2012,NULL
823,LL Mountain Rear Wheel,Wheels,Components,LL Mountain Rear Wheel,Replacement mountain wheel for entry-level rider.,38.9588,87.745,"M ",30-05-2012,29-05-2013
824,ML Mountain Rear Wheel,Wheels,Components,ML Mountain Rear Wheel,Replacement mountain wheel for the casual to serious rider.,104.7951,236.025,"M ",30-05-2012,29-05-2013
825,HL Mountain Rear Wheel,Wheels,Components,HL Mountain Rear Wheel,High-performance mountain replacement wheel.,145.2835,327.215,"M ",30-05-2012,29-05-2013
826,LL Road Rear Wheel,Wheels,Components,LL Road Rear Wheel,Replacement road rear wheel for entry-level cyclist.,49.9789,112.565,"R ",30-05-2012,29-05-2013
827,ML Road Rear Wheel,Wheels,Components,ML Road Rear Wheel,Aluminum alloy rim with stainless steel spokes; built for speed.,122.2709,275.385,"R ",30-05-2012,29-05-2013
828,HL Road Rear Wheel,Wheels,Components,HL Road Rear Wheel,Strong rear wheel with double-walled rim.,158.5346,357.06,"R ",30-05-2012,29-05-2013
829,Touring Rear Wheel,Wheels,Components,Touring Rear Wheel,Excellent aerodynamic rims guarantee a smooth ride.,108.7844,245.01,"T ",30-05-2012,29-05-2013
830,"ML Mountain Frame - Black, 40",Mountain Frames,Components,ML Mountain Frame,The ML frame is a heat-treated aluminum frame made with the same detail and quality as our HL frame. It offers superior performance. Women's version.,185.8193,348.76,"M ",30-05-2012,29-05-2013
831,"ML Mountain Frame - Black, 44",Mountain Frames,Components,ML Mountain Frame,The ML frame is a heat-treated aluminum frame made with the same detail and quality as our HL frame. It offers superior performance. Women's version.,185.8193,348.76,"M ",30-05-2012,29-05-2013
832,"ML Mountain Frame - Black, 48",Mountain Frames,Components,ML Mountain Frame,The ML frame is a heat-treated aluminum frame made with the same detail and quality as our HL frame. It offers superior performance. Women's version.,185.8193,348.76,"M ",30-05-2012,29-05-2013
833,"ML Road Frame-W - Yellow, 40",Road Frames,Components,ML Road Frame-W,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Women's version.",360.9428,594.83,"R ",30-05-2012,NULL
834,"ML Road Frame-W - Yellow, 42",Road Frames,Components,ML Road Frame-W,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Women's version.",360.9428,594.83,"R ",30-05-2012,NULL
